asn,confidence,country,created_ts,feed_id,id,import_session_id,ip,is_public,itype,latitude,longitude,meta,modified_ts,org,owner_organization_id,rdns,resource_uri,source,status,tags,threatscore,type,value
13354,35,US,2015-02-02T05:25:51.340Z,38,8616225,,108.166.190.23,TRUE,mal_ip,32.7825,-96.8207,"{""severity"": ""medium"", ""detail"": ""AlenVault,""}",2015-02-02T05:25:51.340Z,EBL Global Networks,2,,/api/v2/intelligence/8616225/,Alien Vault OTX - Malware C2 IP's,active,"[{""source_user_id"": null, ""name"": ""AlenVault""}, {""source_user_id"": null, ""name"": """"}]",28,ip,108.166.190.23
,45,US,2015-02-02T05:25:51.277Z,38,8616224,,54.149.214.13,TRUE,mal_ip,40.5525,-74.2915,"{""severity"": ""medium"", ""detail"": ""AlenVault,""}",2015-02-02T05:25:51.277Z,Merck and Co.,2,,/api/v2/intelligence/8616224/,Alien Vault OTX - Malware C2 IP's,active,"[{""source_user_id"": null, ""name"": ""AlenVault""}, {""source_user_id"": null, ""name"": """"}]",36,ip,54.149.214.13
38700,30,KR,2015-02-02T05:25:51.145Z,38,8616222,,115.68.84.9,TRUE,mal_ip,37.57,126.98,"{""severity"": ""medium"", ""detail"": ""AlenVault,""}",2015-02-02T05:25:51.145Z,Smileserv,2,,/api/v2/intelligence/8616222/,Alien Vault OTX - Malware C2 IP's,active,"[{""source_user_id"": null, ""name"": ""AlenVault""}, {""source_user_id"": null, ""name"": """"}]",24,ip,115.68.84.9
15703,25,NL,2015-02-02T05:25:51.077Z,38,8616221,,87.233.180.103,TRUE,mal_ip,52.5,5.75,"{""severity"": ""medium"", ""detail"": ""AlenVault,""}",2015-02-02T05:25:51.077Z,TrueServer BV,2,,/api/v2/intelligence/8616221/,Alien Vault OTX - Malware C2 IP's,active,"[{""source_user_id"": null, ""name"": ""AlenVault""}, {""source_user_id"": null, ""name"": """"}]",20,ip,87.233.180.103
26347,20,US,2015-02-02T05:25:47.721Z,38,8616220,,66.33.212.181,TRUE,mal_ip,33.9269,-117.8612,"{""severity"": ""medium"", ""detail"": ""AlenVault,""}",2015-02-02T05:25:47.721Z,"New Dream Network, LLC",2,,/api/v2/intelligence/8616220/,Alien Vault OTX - Malware C2 IP's,active,"[{""source_user_id"": null, ""name"": ""AlenVault""}, {""source_user_id"": null, ""name"": """"}]",16,ip,66.33.212.181
26347,25,US,2015-02-02T05:25:47.660Z,38,8616219,,75.119.222.68,TRUE,mal_ip,33.9269,-117.8612,"{""severity"": ""medium"", ""detail"": ""AlenVault,""}",2015-02-02T05:25:47.660Z,"New Dream Network, LLC",2,,/api/v2/intelligence/8616219/,Alien Vault OTX - Malware C2 IP's,active,"[{""source_user_id"": null, ""name"": ""AlenVault""}, {""source_user_id"": null, ""name"": """"}]",20,ip,75.119.222.68
40676,25,US,2015-02-02T05:25:47.598Z,38,8616218,,173.224.214.202,TRUE,mal_ip,34.0115,-117.8535,"{""severity"": ""medium"", ""detail"": ""AlenVault,""}",2015-02-02T05:25:47.598Z,Psychz Networks,2,,/api/v2/intelligence/8616218/,Alien Vault OTX - Malware C2 IP's,active,"[{""source_user_id"": null, ""name"": ""AlenVault""}, {""source_user_id"": null, ""name"": """"}]",20,ip,173.224.214.202
29761,30,US,2015-02-02T05:25:47.539Z,38,8616217,,204.44.65.20,TRUE,mal_ip,34.0522,-118.2437,"{""severity"": ""medium"", ""detail"": ""AlenVault,""}",2015-02-02T05:25:47.539Z,QuadraNet,2,,/api/v2/intelligence/8616217/,Alien Vault OTX - Malware C2 IP's,active,"[{""source_user_id"": null, ""name"": ""AlenVault""}, {""source_user_id"": null, ""name"": """"}]",24,ip,204.44.65.20
44497,25,ES,2015-02-02T05:25:47.477Z,38,8616216,,185.2.131.127,TRUE,mal_ip,40,-4,"{""severity"": ""medium"", ""detail"": ""AlenVault,""}",2015-02-02T05:25:47.477Z,Host Europe Iberia SL,2,,/api/v2/intelligence/8616216/,Alien Vault OTX - Malware C2 IP's,active,"[{""source_user_id"": null, ""name"": ""AlenVault""}, {""source_user_id"": null, ""name"": """"}]",20,ip,185.2.131.127
11664,65,AR,2015-02-02T05:24:35.049Z,171,8616141,,200.69.131.138,TRUE,bot_ip,-34.5875,-58.6725,"{""severity"": ""high"", ""detail"": ""dionaea,smbd,port-445,Windows XP,Ethernet or modem""}",2015-02-02T05:24:35.049Z,Techtel LMDS Comunicaciones Interactivas S.A.,2,,/api/v2/intelligence/8616141/,TS LABS MHN Tagged,active,"[{""source_user_id"": null, ""name"": ""dionaea""}, {""source_user_id"": null, ""name"": ""smbd""}, {""source_user_id"": null, ""name"": ""port-445""}, {""source_user_id"": null, ""name"": ""Windows-XP""}, {""source_user_id"": null, ""name"": ""Ethernet-or-modem""}]",17,ip,200.69.131.138
23966,60,PK,2015-02-02T05:24:34.841Z,171,8616135,,202.147.177.22,TRUE,bot_ip,30,70,"{""severity"": ""high"", ""detail"": ""dionaea,smbd,port-445,Windows 7 or 8,DSL""}",2015-02-02T05:24:34.841Z,LINKdotNET Telecom Limited,2,,/api/v2/intelligence/8616135/,TS LABS MHN Tagged,active,"[{""source_user_id"": null, ""name"": ""dionaea""}, {""source_user_id"": null, ""name"": ""smbd""}, {""source_user_id"": null, ""name"": ""port-445""}, {""source_user_id"": null, ""name"": ""Windows-7-or-8""}, {""source_user_id"": null, ""name"": ""DSL""}]",15,ip,202.147.177.22
8048,55,VE,2015-02-02T05:24:34.712Z,171,8616131,,186.89.54.215,TRUE,bot_ip,10.5,-66.9167,"{""severity"": ""high"", ""detail"": ""dionaea,smbd,port-445,Windows XP,Ethernet or modem""}",2015-02-02T05:24:34.712Z,"CANTV Servicios, Venezuela",2,,/api/v2/intelligence/8616131/,TS LABS MHN Tagged,active,"[{""source_user_id"": null, ""name"": ""dionaea""}, {""source_user_id"": null, ""name"": ""smbd""}, {""source_user_id"": null, ""name"": ""port-445""}, {""source_user_id"": null, ""name"": ""Windows-XP""}, {""source_user_id"": null, ""name"": ""Ethernet-or-modem""}]",14,ip,186.89.54.215
,45,US,2015-02-02T05:24:34.641Z,171,8616128,,54.67.125.198,TRUE,bot_ip,40.5525,-74.2915,"{""severity"": ""high"", ""detail"": ""dionaea,mysqld,port-3306,Linux 2.2.x-3.x""}",2015-02-02T05:24:34.641Z,Amazon,2,,/api/v2/intelligence/8616128/,TS LABS MHN Tagged,active,"[{""source_user_id"": null, ""name"": ""dionaea""}, {""source_user_id"": null, ""name"": ""mysqld""}, {""source_user_id"": null, ""name"": ""port-3306""}, {""source_user_id"": null, ""name"": ""Linux-2.2.x-3.x""}]",12,ip,54.67.125.198
4134,55,CN,2015-02-02T05:24:34.568Z,171,8616125,,1.80.251.56,TRUE,bot_ip,34.2583,108.9286,"{""severity"": ""high"", ""detail"": ""dionaea,smbd,port-445,Windows XP,generic tunnel or VPN""}",2015-02-02T05:24:34.568Z,China Telecom SHAANXI,2,,/api/v2/intelligence/8616125/,TS LABS MHN Tagged,active,"[{""source_user_id"": null, ""name"": ""dionaea""}, {""source_user_id"": null, ""name"": ""smbd""}, {""source_user_id"": null, ""name"": ""port-445""}, {""source_user_id"": null, ""name"": ""Windows-XP""}, {""source_user_id"": null, ""name"": ""generic-tunnel-or-VPN""}]",14,ip,1.80.251.56
10201,50,IN,2015-02-02T05:24:34.284Z,171,8616122,,202.148.205.18,TRUE,bot_ip,20,77,"{""severity"": ""high"", ""detail"": ""dionaea,microsoft-ds,port-445,Windows NT kernel,Ethernet or modem""}",2015-02-02T05:24:34.284Z,Dishnet Wireless Limited. Broadband Wireless,2,,/api/v2/intelligence/8616122/,TS LABS MHN Tagged,active,"[{""source_user_id"": null, ""name"": ""dionaea""}, {""source_user_id"": null, ""name"": ""microsoft-ds""}, {""source_user_id"": null, ""name"": ""port-445""}, {""source_user_id"": null, ""name"": ""Windows-NT-kernel""}, {""source_user_id"": null, ""name"": ""Ethernet-or-modem""}]",13,ip,202.148.205.18
13184,30,DE,2015-02-02T05:24:34.261Z,171,8616121,,78.54.87.102,TRUE,bot_ip,53.5992,10.042,"{""severity"": ""high"", ""detail"": ""dionaea,microsoft-ds,port-445,Windows NT kernel,generic tunnel or VPN""}",2015-02-02T05:24:34.261Z,Telefonica Germany,2,,/api/v2/intelligence/8616121/,TS LABS MHN Tagged,active,"[{""source_user_id"": null, ""name"": ""dionaea""}, {""source_user_id"": null, ""name"": ""microsoft-ds""}, {""source_user_id"": null, ""name"": ""port-445""}, {""source_user_id"": null, ""name"": ""Windows-NT-kernel""}, {""source_user_id"": null, ""name"": ""generic-tunnel-or-VPN""}]",8,ip,78.54.87.102
23118,60,US,2015-02-02T05:24:34.238Z,171,8616120,,69.77.132.147,TRUE,bot_ip,36.1452,-81.838,"{""severity"": ""high"", ""detail"": ""conpot,http,port-502""}",2015-02-02T05:24:34.238Z,SkyBest Communications,2,,/api/v2/intelligence/8616120/,TS LABS MHN Tagged,active,"[{""source_user_id"": null, ""name"": ""conpot""}, {""source_user_id"": null, ""name"": ""http""}, {""source_user_id"": null, ""name"": ""port-502""}]",15,ip,69.77.132.147
3462,75,TW,2015-02-02T05:24:34.176Z,171,8616119,,114.39.187.206,TRUE,bot_ip,22.9933,120.2036,"{""severity"": ""high"", ""detail"": ""dionaea,microsoft-ds,port-445,Windows NT kernel,IPIP or SIT""}",2015-02-02T05:24:34.176Z,"CHTD, Chunghwa Telecom Co., Ltd.",2,,/api/v2/intelligence/8616119/,TS LABS MHN Tagged,active,"[{""source_user_id"": null, ""name"": ""dionaea""}, {""source_user_id"": null, ""name"": ""microsoft-ds""}, {""source_user_id"": null, ""name"": ""port-445""}, {""source_user_id"": null, ""name"": ""Windows-NT-kernel""}, {""source_user_id"": null, ""name"": ""IPIP-or-SIT""}]",19,ip,114.39.187.206
9829,20,IN,2015-02-02T05:24:29.179Z,171,8616116,,61.3.45.250,TRUE,bot_ip,18.4333,79.15,"{""severity"": ""high"", ""detail"": ""dionaea,smbd,port-445,Windows NT kernel 5.x,generic tunnel or VPN""}",2015-02-02T05:24:29.179Z,BSNL,2,,/api/v2/intelligence/8616116/,TS LABS MHN Tagged,active,"[{""source_user_id"": null, ""name"": ""dionaea""}, {""source_user_id"": null, ""name"": ""smbd""}, {""source_user_id"": null, ""name"": ""port-445""}, {""source_user_id"": null, ""name"": ""Windows-NT-kernel-5.x""}, {""source_user_id"": null, ""name"": ""generic-tunnel-or-VPN""}]",5,ip,61.3.45.250
29030,60,BG,2015-02-02T05:24:29.095Z,171,8616114,,87.121.9.217,TRUE,bot_ip,42.2,24.3333,"{""severity"": ""high"", ""detail"": ""dionaea,microsoft-ds,port-445,Windows XP,Ethernet or modem""}",2015-02-02T05:24:29.095Z,Telecable Pazardjik,2,,/api/v2/intelligence/8616114/,TS LABS MHN Tagged,active,"[{""source_user_id"": null, ""name"": ""dionaea""}, {""source_user_id"": null, ""name"": ""microsoft-ds""}, {""source_user_id"": null, ""name"": ""port-445""}, {""source_user_id"": null, ""name"": ""Windows-XP""}, {""source_user_id"": null, ""name"": ""Ethernet-or-modem""}]",15,ip,87.121.9.217
15975,65,PS,2015-02-02T05:24:29.010Z,171,8616112,,37.8.35.86,TRUE,bot_ip,31.9,35.2,"{""severity"": ""high"", ""detail"": ""dionaea,SipCall,port-5060""}",2015-02-02T05:24:29.010Z,Hadara,2,,/api/v2/intelligence/8616112/,TS LABS MHN Tagged,active,"[{""source_user_id"": null, ""name"": ""dionaea""}, {""source_user_id"": null, ""name"": ""SipCall""}, {""source_user_id"": null, ""name"": ""port-5060""}]",17,ip,37.8.35.86
3269,55,IT,2015-02-02T05:24:28.911Z,171,8616109,,95.238.229.163,TRUE,bot_ip,41.9,12.4833,"{""severity"": ""high"", ""detail"": ""dionaea,microsoft-ds,port-445,Windows XP""}",2015-02-02T05:24:28.911Z,Telecom Italia,2,,/api/v2/intelligence/8616109/,TS LABS MHN Tagged,active,"[{""source_user_id"": null, ""name"": ""dionaea""}, {""source_user_id"": null, ""name"": ""microsoft-ds""}, {""source_user_id"": null, ""name"": ""port-445""}, {""source_user_id"": null, ""name"": ""Windows-XP""}]",14,ip,95.238.229.163
9934,60,MN,2015-02-02T05:24:28.098Z,171,8616107,,202.179.8.74,TRUE,bot_ip,47.9167,106.9167,"{""severity"": ""high"", ""detail"": ""dionaea,smbd,port-445,Windows XP,Ethernet or modem""}",2015-02-02T05:24:28.098Z,Micom-network-corporate-cust,2,,/api/v2/intelligence/8616107/,TS LABS MHN Tagged,active,"[{""source_user_id"": null, ""name"": ""dionaea""}, {""source_user_id"": null, ""name"": ""smbd""}, {""source_user_id"": null, ""name"": ""port-445""}, {""source_user_id"": null, ""name"": ""Windows-XP""}, {""source_user_id"": null, ""name"": ""Ethernet-or-modem""}]",15,ip,202.179.8.74
17597,55,KR,2015-02-02T05:24:28.071Z,171,8616106,,203.123.209.40,TRUE,bot_ip,37.57,126.98,"{""severity"": ""high"", ""detail"": ""dionaea,microsoft-ds,port-445,Windows XP,Ethernet or modem""}",2015-02-02T05:24:28.071Z,TBROAD Saerom Broadcasting,2,,/api/v2/intelligence/8616106/,TS LABS MHN Tagged,active,"[{""source_user_id"": null, ""name"": ""dionaea""}, {""source_user_id"": null, ""name"": ""microsoft-ds""}, {""source_user_id"": null, ""name"": ""port-445""}, {""source_user_id"": null, ""name"": ""Windows-XP""}, {""source_user_id"": null, ""name"": ""Ethernet-or-modem""}]",14,ip,203.123.209.40
20207,30,AR,2015-02-02T05:24:28.012Z,171,8616103,,190.57.239.164,TRUE,bot_ip,-30.9546,-58.7833,"{""severity"": ""high"", ""detail"": ""dionaea,smbd,port-445,Windows NT kernel,Ethernet or modem""}",2015-02-02T05:24:28.012Z,Gigared S.A.,2,,/api/v2/intelligence/8616103/,TS LABS MHN Tagged,active,"[{""source_user_id"": null, ""name"": ""dionaea""}, {""source_user_id"": null, ""name"": ""smbd""}, {""source_user_id"": null, ""name"": ""port-445""}, {""source_user_id"": null, ""name"": ""Windows-NT-kernel""}, {""source_user_id"": null, ""name"": ""Ethernet-or-modem""}]",8,ip,190.57.239.164
45595,50,PK,2015-02-02T05:24:27.952Z,171,8616102,,119.159.101.25,TRUE,bot_ip,31.5497,74.3436,"{""severity"": ""high"", ""detail"": ""dionaea,smbd,port-445,Windows XP,Ethernet or modem""}",2015-02-02T05:24:27.952Z,PTCL,2,,/api/v2/intelligence/8616102/,TS LABS MHN Tagged,active,"[{""source_user_id"": null, ""name"": ""dionaea""}, {""source_user_id"": null, ""name"": ""smbd""}, {""source_user_id"": null, ""name"": ""port-445""}, {""source_user_id"": null, ""name"": ""Windows-XP""}, {""source_user_id"": null, ""name"": ""Ethernet-or-modem""}]",13,ip,119.159.101.25
4134,80,CN,2015-02-02T05:24:27.890Z,171,8616101,,113.16.54.78,TRUE,bot_ip,22.8167,108.3167,"{""severity"": ""high"", ""detail"": ""dionaea,smbd,port-445,Windows XP,DSL""}",2015-02-02T05:24:27.890Z,China Telecom Guangxi,2,,/api/v2/intelligence/8616101/,TS LABS MHN Tagged,active,"[{""source_user_id"": null, ""name"": ""dionaea""}, {""source_user_id"": null, ""name"": ""smbd""}, {""source_user_id"": null, ""name"": ""port-445""}, {""source_user_id"": null, ""name"": ""Windows-XP""}, {""source_user_id"": null, ""name"": ""DSL""}]",20,ip,113.16.54.78
9498,55,IN,2015-02-02T05:24:27.829Z,171,8616100,,182.74.46.114,TRUE,bot_ip,28.4667,77.0333,"{""severity"": ""high"", ""detail"": ""dionaea,smbd,port-445,Windows 7 or 8,Ethernet or modem""}",2015-02-02T05:24:27.829Z,Bharti Airtel,2,,/api/v2/intelligence/8616100/,TS LABS MHN Tagged,active,"[{""source_user_id"": null, ""name"": ""dionaea""}, {""source_user_id"": null, ""name"": ""smbd""}, {""source_user_id"": null, ""name"": ""port-445""}, {""source_user_id"": null, ""name"": ""Windows-7-or-8""}, {""source_user_id"": null, ""name"": ""Ethernet-or-modem""}]",14,ip,182.74.46.114
4713,45,JP,2015-02-02T05:24:27.118Z,171,8616098,,60.42.109.63,TRUE,bot_ip,35.685,139.7514,"{""severity"": ""high"", ""detail"": ""dionaea,microsoft-ds,port-445,Windows XP,DSL""}",2015-02-02T05:24:27.118Z,NTT Plala Inc.,2,,/api/v2/intelligence/8616098/,TS LABS MHN Tagged,active,"[{""source_user_id"": null, ""name"": ""dionaea""}, {""source_user_id"": null, ""name"": ""microsoft-ds""}, {""source_user_id"": null, ""name"": ""port-445""}, {""source_user_id"": null, ""name"": ""Windows-XP""}, {""source_user_id"": null, ""name"": ""DSL""}]",12,ip,60.42.109.63
31204,60,MD,2015-02-02T05:24:27.081Z,171,8616097,,89.149.91.31,TRUE,bot_ip,47.0056,28.8575,"{""severity"": ""high"", ""detail"": ""dionaea,microsoft-ds,port-445,Windows XP,Ethernet or modem""}",2015-02-02T05:24:27.081Z,JV Sun Communications S.R.L.,2,,/api/v2/intelligence/8616097/,TS LABS MHN Tagged,active,"[{""source_user_id"": null, ""name"": ""dionaea""}, {""source_user_id"": null, ""name"": ""microsoft-ds""}, {""source_user_id"": null, ""name"": ""port-445""}, {""source_user_id"": null, ""name"": ""Windows-XP""}, {""source_user_id"": null, ""name"": ""Ethernet-or-modem""}]",15,ip,89.149.91.31
22552,80,US,2015-02-02T05:24:27.009Z,171,8616095,,199.87.232.178,TRUE,bot_ip,34.053,-118.2642,"{""severity"": ""high"", ""detail"": ""dionaea,microsoft-ds,port-445,Windows XP,Ethernet or modem""}",2015-02-02T05:24:27.009Z,eSited Solutions,2,,/api/v2/intelligence/8616095/,TS LABS MHN Tagged,active,"[{""source_user_id"": null, ""name"": ""dionaea""}, {""source_user_id"": null, ""name"": ""microsoft-ds""}, {""source_user_id"": null, ""name"": ""port-445""}, {""source_user_id"": null, ""name"": ""Windows-XP""}, {""source_user_id"": null, ""name"": ""Ethernet-or-modem""}]",20,ip,199.87.232.178
3786,75,KR,2015-02-02T05:24:25.941Z,171,8616094,,211.32.132.20,TRUE,bot_ip,37.57,126.98,"{""severity"": ""high"", ""detail"": ""dionaea,smbd,port-445,Windows XP,Ethernet or modem""}",2015-02-02T05:24:25.941Z,DACOM Corp.,2,,/api/v2/intelligence/8616094/,TS LABS MHN Tagged,active,"[{""source_user_id"": null, ""name"": ""dionaea""}, {""source_user_id"": null, ""name"": ""smbd""}, {""source_user_id"": null, ""name"": ""port-445""}, {""source_user_id"": null, ""name"": ""Windows-XP""}, {""source_user_id"": null, ""name"": ""Ethernet-or-modem""}]",19,ip,211.32.132.20
4750,65,TH,2015-02-02T05:24:25.871Z,171,8616093,,58.137.112.204,TRUE,bot_ip,13.754,100.5014,"{""severity"": ""high"", ""detail"": ""dionaea,smbd,port-445,Windows XP,Ethernet or modem""}",2015-02-02T05:24:25.871Z,CS LoxInfo,2,,/api/v2/intelligence/8616093/,TS LABS MHN Tagged,active,"[{""source_user_id"": null, ""name"": ""dionaea""}, {""source_user_id"": null, ""name"": ""smbd""}, {""source_user_id"": null, ""name"": ""port-445""}, {""source_user_id"": null, ""name"": ""Windows-XP""}, {""source_user_id"": null, ""name"": ""Ethernet-or-modem""}]",17,ip,58.137.112.204
8402,50,RU,2015-02-02T05:24:25.841Z,171,8616092,,93.80.135.193,TRUE,bot_ip,60,100,"{""severity"": ""high"", ""detail"": ""dionaea,smbd,port-445,Windows XP,generic tunnel or VPN""}",2015-02-02T05:24:25.841Z,Beeline,2,,/api/v2/intelligence/8616092/,TS LABS MHN Tagged,active,"[{""source_user_id"": null, ""name"": ""dionaea""}, {""source_user_id"": null, ""name"": ""smbd""}, {""source_user_id"": null, ""name"": ""port-445""}, {""source_user_id"": null, ""name"": ""Windows-XP""}, {""source_user_id"": null, ""name"": ""generic-tunnel-or-VPN""}]",13,ip,93.80.135.193
25500,55,UA,2015-02-02T05:24:25.807Z,171,8616091,,77.47.196.101,TRUE,bot_ip,50.4333,30.5167,"{""severity"": ""high"", ""detail"": ""dionaea,smbd,port-445,Windows XP,Ethernet or modem""}",2015-02-02T05:24:25.807Z,National Technical University of Ukraine,2,,/api/v2/intelligence/8616091/,TS LABS MHN Tagged,active,"[{""source_user_id"": null, ""name"": ""dionaea""}, {""source_user_id"": null, ""name"": ""smbd""}, {""source_user_id"": null, ""name"": ""port-445""}, {""source_user_id"": null, ""name"": ""Windows-XP""}, {""source_user_id"": null, ""name"": ""Ethernet-or-modem""}]",14,ip,77.47.196.101
3462,45,TW,2015-02-02T05:24:24.768Z,171,8616090,,1.171.1.118,TRUE,bot_ip,23.5,121,"{""severity"": ""high"", ""detail"": ""dionaea,smbd,port-445,Windows NT kernel,IPIP or SIT""}",2015-02-02T05:24:24.768Z,"CHTD, Chunghwa Telecom Co., Ltd.",2,,/api/v2/intelligence/8616090/,TS LABS MHN Tagged,active,"[{""source_user_id"": null, ""name"": ""dionaea""}, {""source_user_id"": null, ""name"": ""smbd""}, {""source_user_id"": null, ""name"": ""port-445""}, {""source_user_id"": null, ""name"": ""Windows-NT-kernel""}, {""source_user_id"": null, ""name"": ""IPIP-or-SIT""}]",12,ip,1.171.1.118
15975,80,PS,2015-02-02T05:24:24.696Z,171,8616088,,37.8.44.172,TRUE,bot_ip,31.9,35.2,"{""severity"": ""high"", ""detail"": ""dionaea,SipSession,port-5060""}",2015-02-02T05:24:24.696Z,Hadara,2,,/api/v2/intelligence/8616088/,TS LABS MHN Tagged,active,"[{""source_user_id"": null, ""name"": ""dionaea""}, {""source_user_id"": null, ""name"": ""SipSession""}, {""source_user_id"": null, ""name"": ""port-5060""}]",20,ip,37.8.44.172
